threshold,true positive rate,false positive rate
0.667,0.720,0.002
0.672,0.720,0.001
0.675,0.719,0.001
0.677,0.719,0.001
0.679,0.716,0.001
0.682,0.715,0.001
0.683,0.715,0.001
0.684,0.714,0.001
0.685,0.712,0.001
0.688,0.711,0.001
0.693,0.711,0.001
0.696,0.710,0.001
0.699,0.710,0.001
0.700,0.708,0.001
0.701,0.707,0.001
0.703,0.707,0.001
0.710,0.703,0.001
0.714,0.703,0.001
0.716,0.703,0.001
0.718,0.700,0.001
0.720,0.699,0.001
0.722,0.699,0.001
0.723,0.698,0.001
0.724,0.698,0.001
0.725,0.697,0.001
0.732,0.695,0.001
0.733,0.695,0.001
0.735,0.692,0.001
0.736,0.690,0.001
0.739,0.690,0.001
0.743,0.687,0.001
0.745,0.683,0.001
0.747,0.683,0.001
0.756,0.677,0.001
0.757,0.675,0.001
0.766,0.670,0.001
0.767,0.668,0.001
0.768,0.666,0.001
0.774,0.662,0.001
0.775,0.660,0.001
0.776,0.659,0.001
0.777,0.659,0.001
0.779,0.658,0.001
0.780,0.657,0.001
0.781,0.654,0.001
0.782,0.654,0.001
0.785,0.652,0.001
0.787,0.649,0.001
0.790,0.649,0.001
0.791,0.648,0.001
0.793,0.645,0.001
0.794,0.643,0.001
0.795,0.638,0.001
0.797,0.637,0.001
0.799,0.636,0.001
0.803,0.634,0.001
0.805,0.631,0.001
0.806,0.629,0.001
0.807,0.629,0.001
0.812,0.625,0.001
0.818,0.620,0.001
0.820,0.619,0.001
0.823,0.617,0.001
0.824,0.614,0.001
0.825,0.613,0.001
0.828,0.612,0.001
0.830,0.607,0.001
0.831,0.603,0.001
0.832,0.602,0.001
0.833,0.600,0.000
0.834,0.599,0.000
0.838,0.596,0.000
0.840,0.594,0.000
0.845,0.591,0.000
0.846,0.591,0.000
0.848,0.589,0.000
0.852,0.582,0.000
0.855,0.581,0.000
0.856,0.579,0.000
0.858,0.575,0.000
0.859,0.575,0.000
0.860,0.574,0.000
0.862,0.572,0.000
0.863,0.571,0.000
0.864,0.568,0.000
0.865,0.567,0.000
0.867,0.565,0.000
0.868,0.564,0.000
0.870,0.557,0.000
0.871,0.555,0.000
0.875,0.551,0.000
0.878,0.549,0.000
0.879,0.548,0.000
0.881,0.545,0.000
0.883,0.544,0.000
0.884,0.544,0.000
0.885,0.543,0.000
0.886,0.540,0.000
0.888,0.537,0.000
0.891,0.530,0.000
0.892,0.530,0.000
0.894,0.526,0.000
0.897,0.519,0.000
0.898,0.518,0.000
0.899,0.511,0.000
0.901,0.506,0.000
0.902,0.503,0.000
0.904,0.494,0.000
0.905,0.494,0.000
0.906,0.489,0.000
0.907,0.483,0.000
0.908,0.480,0.000
0.909,0.478,0.000
0.910,0.474,0.000
0.911,0.470,0.000
0.912,0.467,0.000
0.913,0.466,0.000
0.914,0.464,0.000
0.915,0.463,0.000
0.916,0.459,0.000
0.917,0.455,0.000
0.919,0.450,0.000
0.922,0.433,0.000
0.923,0.431,0.000
0.924,0.429,0.000
0.925,0.426,0.000
0.926,0.424,0.000
0.928,0.417,0.000
0.929,0.411,0.000
0.930,0.409,0.000
0.931,0.405,0.000
0.932,0.400,0.000
0.933,0.397,0.000
0.934,0.394,0.000
0.935,0.392,0.000
0.936,0.386,0.000
0.937,0.383,0.000
0.938,0.378,0.000
0.939,0.377,0.000
0.940,0.370,0.000
0.942,0.361,0.000
0.943,0.354,0.000
0.944,0.349,0.000
0.945,0.342,0.000
0.946,0.334,0.000
0.947,0.325,0.000
0.948,0.319,0.000
0.949,0.316,0.000
0.950,0.310,0.000
0.951,0.305,0.000
0.952,0.299,0.000
0.953,0.285,0.000
0.954,0.278,0.000
0.955,0.274,0.000
0.956,0.269,0.000
0.958,0.255,0.000
0.960,0.237,0.000
0.962,0.227,0.000
0.963,0.218,0.000
0.965,0.207,0.000
0.966,0.195,0.000
0.967,0.188,0.000
0.968,0.183,0.000
0.969,0.178,0.000
0.970,0.166,0.000
0.971,0.160,0.000
0.972,0.148,0.000
0.973,0.139,0.000
0.974,0.131,0.000
0.975,0.124,0.000
0.976,0.114,0.000
0.977,0.104,0.000
0.978,0.090,0.000
0.979,0.079,0.000
0.980,0.072,0.000
0.981,0.064,0.000
0.983,0.051,0.000
0.984,0.048,0.000
0.985,0.040,0.000
0.986,0.033,0.000
0.987,0.028,0.000
0.988,0.020,0.000
0.989,0.017,0.000
0.990,0.013,0.000
0.991,0.010,0.000
0.992,0.006,0.000
0.996,0.001,0.000
