threshold,true positive rate,false positive rate
0.727,0.627,0.001
0.730,0.626,0.001
0.732,0.623,0.001
0.734,0.623,0.001
0.739,0.621,0.001
0.744,0.621,0.001
0.747,0.619,0.001
0.748,0.617,0.001
0.749,0.615,0.001
0.750,0.612,0.001
0.752,0.611,0.001
0.753,0.607,0.001
0.754,0.606,0.001
0.755,0.604,0.001
0.756,0.603,0.001
0.761,0.598,0.001
0.767,0.596,0.001
0.770,0.596,0.001
0.785,0.587,0.001
0.787,0.587,0.001
0.788,0.586,0.001
0.789,0.583,0.001
0.798,0.575,0.001
0.801,0.573,0.001
0.803,0.571,0.001
0.804,0.568,0.001
0.807,0.568,0.001
0.812,0.565,0.001
0.813,0.564,0.001
0.815,0.561,0.001
0.816,0.560,0.001
0.817,0.557,0.001
0.820,0.556,0.000
0.821,0.553,0.000
0.828,0.545,0.000
0.833,0.543,0.000
0.834,0.540,0.000
0.835,0.537,0.000
0.836,0.536,0.000
0.840,0.532,0.000
0.841,0.529,0.000
0.842,0.527,0.000
0.845,0.526,0.000
0.846,0.524,0.000
0.848,0.522,0.000
0.849,0.520,0.000
0.852,0.517,0.000
0.853,0.514,0.000
0.854,0.511,0.000
0.855,0.506,0.000
0.856,0.501,0.000
0.858,0.496,0.000
0.859,0.495,0.000
0.860,0.490,0.000
0.862,0.489,0.000
0.863,0.488,0.000
0.865,0.486,0.000
0.866,0.483,0.000
0.869,0.479,0.000
0.870,0.476,0.000
0.872,0.474,0.000
0.873,0.471,0.000
0.874,0.465,0.000
0.875,0.463,0.000
0.876,0.462,0.000
0.877,0.458,0.000
0.878,0.452,0.000
0.880,0.450,0.000
0.881,0.447,0.000
0.882,0.442,0.000
0.883,0.440,0.000
0.884,0.439,0.000
0.885,0.436,0.000
0.886,0.433,0.000
0.887,0.433,0.000
0.888,0.428,0.000
0.889,0.425,0.000
0.890,0.419,0.000
0.891,0.416,0.000
0.892,0.411,0.000
0.893,0.409,0.000
0.894,0.403,0.000
0.895,0.397,0.000
0.896,0.395,0.000
0.897,0.392,0.000
0.898,0.389,0.000
0.899,0.380,0.000
0.900,0.377,0.000
0.901,0.370,0.000
0.902,0.366,0.000
0.903,0.357,0.000
0.904,0.349,0.000
0.905,0.342,0.000
0.906,0.336,0.000
0.907,0.333,0.000
0.908,0.325,0.000
0.909,0.315,0.000
0.910,0.310,0.000
0.911,0.301,0.000
0.912,0.296,0.000
0.913,0.288,0.000
0.914,0.279,0.000
0.915,0.274,0.000
0.916,0.264,0.000
0.917,0.258,0.000
0.918,0.249,0.000
0.919,0.243,0.000
0.920,0.233,0.000
0.922,0.217,0.000
0.923,0.203,0.000
0.924,0.196,0.000
0.925,0.192,0.000
0.926,0.183,0.000
0.927,0.180,0.000
0.928,0.165,0.000
0.929,0.158,0.000
0.930,0.149,0.000
0.931,0.148,0.000
0.932,0.141,0.000
0.933,0.137,0.000
0.934,0.130,0.000
0.935,0.124,0.000
0.936,0.119,0.000
0.937,0.114,0.000
0.938,0.107,0.000
0.939,0.103,0.000
0.940,0.095,0.000
0.941,0.092,0.000
0.942,0.086,0.000
0.943,0.083,0.000
0.944,0.077,0.000
0.946,0.068,0.000
0.947,0.065,0.000
0.948,0.064,0.000
0.949,0.059,0.000
0.950,0.052,0.000
0.951,0.047,0.000
0.952,0.045,0.000
0.953,0.044,0.000
0.955,0.039,0.000
0.956,0.038,0.000
0.957,0.036,0.000
0.960,0.033,0.000
0.962,0.031,0.000
0.963,0.030,0.000
0.964,0.028,0.000
0.965,0.026,0.000
0.967,0.024,0.000
0.968,0.020,0.000
0.969,0.017,0.000
0.972,0.015,0.000
0.976,0.010,0.000
0.984,0.007,0.000
0.985,0.005,0.000
0.991,0.001,0.000
