threshold,precision,recall
0.411,0.782,0.874
0.413,0.784,0.874
0.414,0.785,0.874
0.415,0.786,0.874
0.417,0.788,0.873
0.419,0.787,0.870
0.420,0.787,0.869
0.421,0.787,0.868
0.423,0.787,0.868
0.426,0.788,0.866
0.428,0.788,0.863
0.429,0.789,0.862
0.431,0.791,0.862
0.432,0.792,0.862
0.434,0.793,0.862
0.435,0.794,0.862
0.436,0.795,0.862
0.439,0.796,0.862
0.441,0.797,0.861
0.444,0.797,0.860
0.445,0.798,0.860
0.447,0.797,0.859
0.448,0.798,0.859
0.451,0.799,0.859
0.453,0.801,0.859
0.454,0.802,0.859
0.458,0.803,0.859
0.459,0.803,0.859
0.460,0.803,0.858
0.461,0.804,0.858
0.463,0.804,0.856
0.466,0.805,0.856
0.467,0.805,0.854
0.468,0.806,0.854
0.469,0.807,0.854
0.470,0.808,0.854
0.471,0.810,0.854
0.472,0.810,0.854
0.477,0.811,0.853
0.479,0.812,0.853
0.481,0.812,0.852
0.484,0.812,0.851
0.488,0.813,0.851
0.489,0.814,0.851
0.490,0.815,0.851
0.491,0.816,0.851
0.492,0.816,0.850
0.493,0.817,0.850
0.494,0.818,0.850
0.496,0.819,0.850
0.497,0.820,0.850
0.499,0.821,0.848
0.500,0.822,0.848
0.501,0.823,0.848
0.502,0.824,0.847
0.503,0.823,0.846
0.504,0.824,0.846
0.505,0.826,0.846
0.507,0.828,0.845
0.509,0.829,0.845
0.514,0.831,0.845
0.515,0.831,0.844
0.517,0.832,0.843
0.520,0.833,0.843
0.523,0.834,0.842
0.524,0.834,0.840
0.527,0.835,0.840
0.528,0.838,0.840
0.529,0.838,0.840
0.531,0.839,0.840
0.532,0.840,0.840
0.535,0.841,0.840
0.536,0.842,0.840
0.537,0.843,0.839
0.538,0.843,0.838
0.540,0.845,0.838
0.541,0.847,0.838
0.543,0.848,0.838
0.544,0.850,0.838
0.547,0.850,0.837
0.551,0.852,0.837
0.552,0.852,0.835
0.554,0.854,0.835
0.556,0.856,0.835
0.558,0.857,0.835
0.559,0.857,0.834
0.563,0.861,0.832
0.564,0.861,0.831
0.568,0.862,0.830
