threshold,precision,recall
0.576,0.877,0.785
0.579,0.879,0.784
0.581,0.880,0.784
0.582,0.881,0.784
0.583,0.882,0.784
0.584,0.882,0.783
0.585,0.882,0.782
0.588,0.883,0.782
0.589,0.883,0.781
0.590,0.884,0.780
0.592,0.886,0.780
0.593,0.887,0.777
0.595,0.888,0.777
0.598,0.891,0.776
0.599,0.892,0.775
0.600,0.892,0.774
0.601,0.891,0.773
0.603,0.894,0.773
0.604,0.895,0.773
0.605,0.895,0.772
0.606,0.896,0.772
0.607,0.897,0.772
0.608,0.898,0.770
0.609,0.898,0.769
0.610,0.901,0.769
0.611,0.900,0.768
0.616,0.900,0.767
0.617,0.900,0.766
0.618,0.900,0.765
0.620,0.901,0.763
0.623,0.902,0.763
0.627,0.902,0.761
0.628,0.903,0.761
0.633,0.904,0.760
0.634,0.904,0.759
0.635,0.905,0.759
0.636,0.907,0.758
0.637,0.906,0.755
0.638,0.908,0.755
0.640,0.909,0.755
0.641,0.909,0.754
0.642,0.910,0.753
0.643,0.911,0.753
0.644,0.912,0.751
0.647,0.913,0.751
0.649,0.915,0.751
0.654,0.916,0.751
0.655,0.917,0.751
0.656,0.919,0.751
0.657,0.918,0.750
0.658,0.918,0.749
0.661,0.918,0.747
0.663,0.919,0.747
0.664,0.922,0.747
0.666,0.923,0.746
0.667,0.925,0.745
0.669,0.927,0.744
0.671,0.928,0.744
0.672,0.928,0.743
0.674,0.929,0.742
0.675,0.929,0.741
0.676,0.929,0.739
0.677,0.929,0.738
0.679,0.929,0.737
0.680,0.929,0.736
0.683,0.930,0.736
0.685,0.931,0.734
0.689,0.931,0.732
0.690,0.931,0.731
0.693,0.933,0.730
0.694,0.932,0.728
0.695,0.935,0.728
0.696,0.938,0.728
0.698,0.939,0.727
0.699,0.939,0.726
0.700,0.939,0.724
0.701,0.939,0.723
0.702,0.939,0.722
0.703,0.939,0.719
0.704,0.940,0.716
0.705,0.941,0.715
0.707,0.941,0.714
0.708,0.941,0.713
0.709,0.942,0.713
0.710,0.942,0.711
0.713,0.945,0.708
0.715,0.945,0.707
0.716,0.945,0.704
0.717,0.944,0.703
0.718,0.946,0.703
0.719,0.946,0.700
0.720,0.947,0.699
0.722,0.947,0.698
0.724,0.947,0.697
0.725,0.948,0.697
0.727,0.948,0.696
0.729,0.948,0.695
0.730,0.950,0.695
0.731,0.951,0.693
0.733,0.951,0.692
0.735,0.953,0.692
0.737,0.954,0.692
0.740,0.959,0.692
0.741,0.962,0.692
0.742,0.963,0.692
0.743,0.963,0.689
0.745,0.965,0.688
0.746,0.965,0.687
0.747,0.966,0.687
0.749,0.966,0.685
0.750,0.967,0.681
0.751,0.967,0.679
0.753,0.967,0.677
0.754,0.969,0.677
0.755,0.969,0.676
0.756,0.969,0.675
0.757,0.969,0.674
0.760,0.969,0.672
0.761,0.968,0.670
0.763,0.968,0.667
0.764,0.972,0.666
0.765,0.973,0.664
0.766,0.973,0.662
0.767,0.973,0.661
0.770,0.973,0.659
0.771,0.974,0.658
0.772,0.974,0.657
0.773,0.976,0.656
0.774,0.976,0.653
0.775,0.976,0.652
0.776,0.976,0.650
0.777,0.978,0.649
0.778,0.977,0.644
0.780,0.979,0.644
0.782,0.979,0.641
0.784,0.979,0.638
0.787,0.979,0.636
0.788,0.979,0.633
0.789,0.979,0.631
0.790,0.979,0.630
0.793,0.978,0.627
0.795,0.978,0.626
0.796,0.978,0.622
0.797,0.978,0.621
0.798,0.978,0.620
0.801,0.978,0.619
0.803,0.978,0.617
0.804,0.978,0.614
0.805,0.978,0.613
0.806,0.978,0.610
0.807,0.978,0.607
0.808,0.978,0.606
0.809,0.978,0.605
0.810,0.978,0.604
0.811,0.978,0.603
0.814,0.978,0.602
0.815,0.978,0.599
0.816,0.979,0.598
0.818,0.979,0.597
0.820,0.979,0.596
0.823,0.979,0.595
0.824,0.979,0.594
0.825,0.979,0.591
0.826,0.979,0.590
0.829,0.981,0.589
0.830,0.981,0.587
0.831,0.981,0.586
0.832,0.981,0.584
0.833,0.981,0.582
0.834,0.981,0.580
0.835,0.982,0.576
0.837,0.984,0.575
0.838,0.986,0.574
0.839,0.986,0.573
0.840,0.990,0.571
0.841,0.990,0.569
0.842,0.990,0.568
0.844,0.990,0.566
0.845,0.990,0.564
0.846,0.990,0.561
0.847,0.992,0.561
0.848,0.992,0.560
0.849,0.992,0.557
0.850,0.992,0.556
0.851,0.992,0.555
0.853,0.992,0.552
0.856,0.992,0.549
0.857,0.992,0.548
0.858,0.992,0.546
0.859,0.992,0.543
0.860,0.992,0.542
0.861,0.992,0.540
0.862,0.991,0.534
0.863,0.991,0.532
0.864,0.991,0.530
0.865,0.991,0.528
0.866,0.991,0.524
0.867,0.991,0.521
0.868,0.993,0.519
0.869,0.993,0.515
0.872,0.993,0.513
0.873,0.993,0.511
0.874,0.993,0.507
0.875,0.993,0.506
0.876,0.993,0.504
0.877,0.993,0.503
0.879,0.993,0.501
0.880,0.993,0.497
0.881,0.995,0.491
0.882,0.995,0.490
0.883,0.995,0.488
0.886,0.995,0.486
0.887,0.995,0.485
0.888,0.995,0.482
0.890,0.995,0.480
0.891,0.995,0.474
0.892,0.995,0.471
0.893,0.995,0.468
0.894,0.995,0.466
0.895,0.995,0.464
0.896,0.995,0.460
0.898,0.995,0.457
0.899,0.995,0.456
0.900,0.995,0.451
0.902,0.995,0.448
