threshold,true positive rate,false positive rate
0.572,0.784,0.001
0.573,0.783,0.001
0.574,0.781,0.001
0.582,0.777,0.001
0.586,0.777,0.001
0.587,0.776,0.001
0.592,0.774,0.001
0.601,0.769,0.001
0.602,0.769,0.001
0.604,0.768,0.001
0.607,0.768,0.001
0.608,0.768,0.001
0.611,0.766,0.001
0.614,0.765,0.001
0.615,0.762,0.001
0.618,0.761,0.001
0.620,0.761,0.001
0.623,0.761,0.001
0.625,0.759,0.001
0.626,0.759,0.001
0.637,0.750,0.001
0.639,0.747,0.001
0.641,0.746,0.001
0.642,0.746,0.001
0.643,0.746,0.001
0.644,0.745,0.001
0.645,0.744,0.001
0.647,0.742,0.001
0.661,0.737,0.001
0.666,0.737,0.001
0.668,0.736,0.001
0.669,0.735,0.001
0.670,0.732,0.001
0.671,0.731,0.001
0.673,0.729,0.001
0.676,0.728,0.001
0.680,0.728,0.001
0.681,0.724,0.001
0.684,0.723,0.001
0.687,0.719,0.001
0.691,0.718,0.001
0.699,0.714,0.001
0.701,0.714,0.000
0.702,0.713,0.000
0.706,0.711,0.000
0.716,0.705,0.000
0.717,0.704,0.000
0.719,0.701,0.000
0.720,0.701,0.000
0.722,0.700,0.000
0.725,0.696,0.000
0.732,0.690,0.000
0.733,0.688,0.000
0.742,0.683,0.000
0.745,0.683,0.000
0.746,0.680,0.000
0.747,0.677,0.000
0.748,0.676,0.000
0.750,0.675,0.000
0.753,0.668,0.000
0.754,0.668,0.000
0.756,0.666,0.000
0.757,0.662,0.000
0.759,0.660,0.000
0.761,0.660,0.000
0.766,0.656,0.000
0.767,0.656,0.000
0.768,0.654,0.000
0.771,0.651,0.000
0.774,0.648,0.000
0.775,0.648,0.000
0.776,0.646,0.000
0.777,0.643,0.000
0.778,0.642,0.000
0.787,0.633,0.000
0.789,0.631,0.000
0.790,0.629,0.000
0.796,0.625,0.000
0.797,0.625,0.000
0.798,0.622,0.000
0.800,0.620,0.000
0.802,0.615,0.000
0.803,0.614,0.000
0.805,0.611,0.000
0.807,0.610,0.000
0.808,0.608,0.000
0.809,0.606,0.000
0.810,0.605,0.000
0.811,0.602,0.000
0.813,0.599,0.000
0.815,0.597,0.000
0.817,0.595,0.000
0.821,0.590,0.000
0.822,0.589,0.000
0.824,0.584,0.000
0.825,0.583,0.000
0.829,0.576,0.000
0.830,0.575,0.000
0.831,0.573,0.000
0.832,0.573,0.000
0.836,0.566,0.000
0.839,0.564,0.000
0.840,0.561,0.000
0.841,0.558,0.000
0.854,0.551,0.000
0.855,0.548,0.000
0.856,0.545,0.000
0.860,0.541,0.000
0.863,0.534,0.000
0.864,0.533,0.000
0.865,0.530,0.000
0.866,0.527,0.000
0.867,0.526,0.000
0.868,0.525,0.000
0.870,0.522,0.000
0.871,0.522,0.000
0.873,0.518,0.000
0.877,0.507,0.000
0.881,0.504,0.000
0.886,0.493,0.000
0.888,0.491,0.000
0.889,0.488,0.000
0.890,0.483,0.000
0.892,0.481,0.000
