threshold,precision,recall
0.398,0.849,0.842
0.399,0.852,0.842
0.401,0.853,0.842
0.402,0.854,0.842
0.403,0.854,0.840
0.404,0.854,0.839
0.405,0.854,0.838
0.406,0.855,0.837
0.407,0.856,0.837
0.409,0.855,0.836
0.410,0.856,0.836
0.411,0.857,0.836
0.412,0.858,0.836
0.413,0.860,0.835
0.416,0.861,0.835
0.418,0.861,0.834
0.419,0.862,0.834
0.420,0.863,0.832
0.421,0.864,0.832
0.422,0.864,0.831
0.423,0.865,0.831
0.424,0.866,0.831
0.425,0.867,0.831
0.426,0.867,0.830
0.427,0.870,0.830
0.428,0.872,0.830
0.429,0.873,0.830
0.430,0.874,0.830
0.431,0.876,0.829
0.432,0.877,0.828
0.433,0.879,0.828
0.434,0.880,0.828
0.435,0.883,0.827
0.436,0.884,0.825
0.437,0.885,0.823
0.438,0.886,0.823
0.439,0.887,0.823
0.440,0.888,0.823
0.441,0.888,0.822
0.442,0.889,0.822
0.443,0.890,0.821
0.444,0.892,0.821
0.446,0.894,0.821
0.448,0.895,0.821
0.450,0.896,0.820
0.453,0.897,0.819
0.455,0.898,0.817
0.460,0.899,0.817
0.461,0.900,0.816
0.463,0.900,0.815
0.464,0.900,0.814
0.466,0.901,0.814
0.468,0.902,0.814
0.469,0.904,0.814
0.470,0.904,0.813
0.471,0.905,0.812
0.472,0.906,0.812
0.477,0.906,0.811
0.479,0.907,0.808
0.482,0.907,0.806
0.483,0.907,0.805
0.485,0.907,0.804
0.487,0.908,0.804
0.491,0.909,0.804
0.492,0.910,0.803
0.493,0.911,0.803
0.495,0.913,0.803
0.496,0.914,0.801
0.497,0.913,0.800
0.498,0.916,0.800
0.502,0.916,0.799
0.506,0.917,0.799
0.507,0.919,0.796
0.508,0.919,0.794
0.509,0.920,0.793
0.511,0.920,0.792
0.512,0.921,0.792
0.513,0.921,0.791
0.514,0.922,0.791
0.516,0.922,0.790
0.517,0.923,0.790
0.519,0.925,0.790
0.520,0.925,0.789
0.521,0.926,0.788
0.526,0.927,0.788
0.527,0.930,0.788
0.528,0.929,0.786
0.529,0.931,0.785
0.531,0.932,0.785
0.533,0.933,0.785
0.537,0.933,0.784
0.541,0.934,0.784
0.543,0.934,0.782
0.544,0.934,0.781
0.551,0.934,0.780
0.552,0.934,0.778
0.553,0.935,0.778
0.556,0.936,0.778
0.557,0.938,0.777
0.560,0.938,0.776
0.561,0.938,0.775
0.562,0.939,0.775
0.564,0.940,0.775
0.566,0.940,0.774
0.567,0.941,0.773
0.570,0.943,0.773
0.572,0.944,0.773
0.573,0.944,0.772
0.575,0.945,0.772
0.577,0.946,0.772
0.579,0.946,0.770
0.586,0.946,0.769
0.587,0.948,0.769
0.588,0.949,0.769
0.590,0.949,0.768
0.591,0.949,0.767
0.595,0.949,0.766
0.596,0.950,0.766
0.598,0.950,0.765
0.600,0.953,0.762
0.601,0.955,0.760
0.605,0.955,0.759
0.606,0.957,0.759
0.607,0.956,0.757
0.608,0.956,0.755
0.610,0.958,0.755
0.615,0.958,0.754
0.617,0.958,0.752
0.618,0.957,0.750
0.621,0.959,0.750
0.624,0.960,0.750
0.628,0.960,0.749
0.630,0.960,0.747
0.633,0.960,0.746
0.636,0.960,0.745
0.644,0.961,0.745
0.645,0.963,0.745
0.649,0.963,0.744
0.650,0.963,0.742
0.652,0.964,0.741
0.653,0.964,0.739
0.655,0.965,0.738
0.656,0.967,0.737
0.663,0.968,0.735
0.664,0.968,0.734
0.665,0.970,0.732
0.666,0.971,0.732
0.671,0.971,0.731
0.672,0.971,0.730
0.673,0.971,0.729
0.674,0.971,0.728
0.683,0.972,0.728
0.684,0.975,0.726
0.685,0.975,0.724
0.687,0.975,0.723
0.688,0.975,0.722
0.690,0.975,0.721
0.693,0.975,0.720
0.694,0.975,0.719
0.697,0.975,0.716
0.700,0.975,0.715
0.701,0.975,0.714
0.702,0.975,0.712
0.703,0.975,0.711
0.708,0.975,0.710
0.709,0.975,0.708
0.711,0.975,0.707
0.712,0.975,0.704
0.714,0.975,0.703
0.717,0.976,0.703
0.718,0.976,0.701
0.719,0.978,0.700
0.722,0.978,0.699
0.724,0.977,0.698
0.725,0.977,0.696
0.727,0.977,0.695
0.730,0.977,0.693
0.731,0.977,0.691
0.733,0.977,0.690
0.735,0.977,0.689
0.736,0.977,0.688
0.737,0.977,0.685
0.738,0.977,0.684
0.739,0.977,0.681
0.740,0.977,0.680
0.741,0.977,0.679
0.742,0.977,0.677
0.744,0.977,0.675
0.745,0.977,0.674
0.746,0.977,0.672
0.747,0.977,0.670
0.748,0.977,0.669
0.749,0.978,0.669
0.750,0.978,0.667
0.752,0.978,0.665
0.753,0.978,0.662
0.754,0.978,0.660
