threshold,true positive rate,false positive rate
0.104,0.953,0.036
0.105,0.953,0.036
0.106,0.953,0.036
0.107,0.953,0.035
0.108,0.953,0.035
0.109,0.953,0.034
0.110,0.953,0.034
0.111,0.953,0.034
0.112,0.953,0.033
0.113,0.953,0.033
0.114,0.953,0.033
0.115,0.951,0.032
0.116,0.949,0.032
0.118,0.949,0.031
0.119,0.949,0.031
0.120,0.949,0.031
0.121,0.948,0.030
0.122,0.948,0.030
0.123,0.948,0.030
0.124,0.948,0.029
0.125,0.947,0.029
0.126,0.947,0.029
0.127,0.947,0.028
0.128,0.946,0.028
0.129,0.944,0.028
0.130,0.943,0.028
0.131,0.943,0.028
0.132,0.943,0.027
0.133,0.941,0.027
0.134,0.941,0.027
0.135,0.940,0.027
0.136,0.940,0.027
0.137,0.940,0.026
0.138,0.940,0.026
0.139,0.940,0.026
0.140,0.939,0.026
0.141,0.939,0.025
0.142,0.939,0.025
0.143,0.939,0.025
0.144,0.939,0.025
0.145,0.938,0.025
0.146,0.938,0.024
0.147,0.938,0.024
0.148,0.936,0.024
0.149,0.935,0.024
0.150,0.935,0.024
0.151,0.935,0.024
0.152,0.935,0.023
0.153,0.935,0.023
0.154,0.935,0.023
0.155,0.935,0.023
0.157,0.935,0.022
0.159,0.935,0.022
0.160,0.935,0.022
0.161,0.932,0.022
0.162,0.932,0.022
0.163,0.932,0.021
0.164,0.932,0.021
0.165,0.932,0.021
0.166,0.932,0.021
0.167,0.932,0.021
0.168,0.931,0.021
0.169,0.931,0.021
0.170,0.931,0.020
0.171,0.931,0.020
0.172,0.930,0.020
0.173,0.930,0.020
0.174,0.930,0.020
0.176,0.930,0.020
0.178,0.930,0.019
0.179,0.929,0.019
0.180,0.929,0.019
0.181,0.929,0.019
0.182,0.928,0.019
0.183,0.927,0.019
0.184,0.925,0.019
0.185,0.925,0.019
0.186,0.924,0.019
0.187,0.924,0.018
0.188,0.924,0.018
0.189,0.924,0.018
0.190,0.924,0.018
0.191,0.923,0.018
0.192,0.923,0.018
0.193,0.923,0.018
0.194,0.923,0.018
0.195,0.922,0.018
0.196,0.921,0.017
0.197,0.921,0.017
0.198,0.921,0.017
0.199,0.920,0.017
0.201,0.920,0.017
0.202,0.918,0.017
0.203,0.917,0.017
0.204,0.917,0.017
0.206,0.917,0.017
0.208,0.917,0.016
0.209,0.917,0.016
0.210,0.916,0.016
0.211,0.916,0.016
0.212,0.916,0.016
0.213,0.915,0.016
0.214,0.915,0.016
0.215,0.915,0.016
0.216,0.914,0.016
0.217,0.914,0.016
0.218,0.914,0.016
0.219,0.914,0.016
0.220,0.914,0.016
0.221,0.914,0.015
0.222,0.914,0.015
0.223,0.914,0.015
0.224,0.914,0.015
0.225,0.914,0.015
0.226,0.914,0.015
0.227,0.913,0.015
0.228,0.913,0.015
0.229,0.913,0.015
0.230,0.913,0.015
0.231,0.913,0.015
0.232,0.913,0.015
0.235,0.913,0.014
0.236,0.913,0.014
0.237,0.913,0.014
0.238,0.912,0.014
0.239,0.910,0.014
0.240,0.910,0.014
0.241,0.909,0.014
0.242,0.908,0.014
0.243,0.907,0.014
0.244,0.907,0.014
0.246,0.907,0.013
0.247,0.907,0.013
0.248,0.907,0.013
0.249,0.907,0.013
0.250,0.907,0.013
0.252,0.907,0.013
0.253,0.907,0.013
0.255,0.905,0.013
0.256,0.905,0.013
0.257,0.905,0.013
0.258,0.902,0.013
0.259,0.902,0.013
0.260,0.902,0.013
0.261,0.902,0.012
0.262,0.901,0.012
0.264,0.900,0.012
0.265,0.900,0.012
0.266,0.900,0.012
0.267,0.900,0.012
0.268,0.900,0.012
0.269,0.900,0.012
0.270,0.900,0.012
0.271,0.900,0.012
0.272,0.899,0.012
0.273,0.899,0.012
0.275,0.899,0.012
0.276,0.899,0.012
0.277,0.898,0.012
0.278,0.898,0.012
0.279,0.898,0.011
0.280,0.898,0.011
0.281,0.898,0.011
0.283,0.898,0.011
0.284,0.898,0.011
0.286,0.898,0.011
0.287,0.897,0.011
0.289,0.896,0.011
0.290,0.896,0.011
0.291,0.893,0.011
0.292,0.893,0.011
0.293,0.893,0.011
0.295,0.892,0.010
