threshold,precision,recall
0.459,0.887,0.823
0.463,0.888,0.822
0.464,0.888,0.821
0.465,0.889,0.820
0.466,0.892,0.819
0.467,0.893,0.815
0.468,0.894,0.815
0.469,0.895,0.815
0.472,0.896,0.815
0.476,0.896,0.814
0.477,0.899,0.814
0.478,0.900,0.814
0.479,0.900,0.813
0.481,0.899,0.812
0.483,0.902,0.811
0.484,0.903,0.811
0.485,0.903,0.809
0.486,0.904,0.809
0.487,0.905,0.808
0.488,0.905,0.807
0.490,0.906,0.806
0.493,0.906,0.805
0.494,0.907,0.804
0.497,0.908,0.804
0.498,0.909,0.804
0.501,0.911,0.804
0.502,0.913,0.804
0.506,0.914,0.803
0.510,0.916,0.803
0.512,0.917,0.803
0.514,0.917,0.801
0.515,0.917,0.800
0.519,0.920,0.800
0.520,0.921,0.799
0.521,0.921,0.798
0.522,0.922,0.798
0.523,0.923,0.798
0.525,0.924,0.798
0.528,0.924,0.797
0.529,0.924,0.796
0.534,0.925,0.793
0.535,0.925,0.792
0.537,0.925,0.791
0.538,0.926,0.791
0.541,0.927,0.791
0.542,0.927,0.790
0.544,0.928,0.790
0.545,0.930,0.790
0.551,0.934,0.790
0.553,0.935,0.790
0.554,0.935,0.789
0.555,0.936,0.789
0.557,0.937,0.788
0.559,0.938,0.786
0.563,0.940,0.786
0.564,0.941,0.784
0.566,0.941,0.783
0.568,0.942,0.781
0.569,0.943,0.781
0.571,0.943,0.780
0.572,0.944,0.777
0.574,0.944,0.775
0.575,0.944,0.774
0.577,0.944,0.773
0.581,0.945,0.773
0.582,0.947,0.773
0.588,0.948,0.773
0.590,0.949,0.772
0.591,0.949,0.770
0.595,0.952,0.769
0.596,0.952,0.767
0.599,0.953,0.767
0.600,0.953,0.766
0.602,0.954,0.766
0.604,0.954,0.765
0.605,0.954,0.762
0.609,0.955,0.760
0.615,0.955,0.758
0.617,0.955,0.755
0.618,0.956,0.755
0.624,0.958,0.755
0.628,0.958,0.753
0.631,0.958,0.752
0.633,0.957,0.750
0.641,0.959,0.750
0.642,0.959,0.749
0.644,0.959,0.747
0.649,0.959,0.746
0.655,0.959,0.745
0.656,0.959,0.744
0.659,0.960,0.744
0.663,0.963,0.744
0.665,0.963,0.743
0.667,0.963,0.741
0.672,0.963,0.739
0.673,0.964,0.738
0.674,0.965,0.737
0.676,0.967,0.737
0.678,0.967,0.736
0.681,0.967,0.735
0.689,0.967,0.731
0.691,0.968,0.731
0.692,0.968,0.729
0.693,0.968,0.727
0.694,0.969,0.724
0.695,0.971,0.723
0.696,0.971,0.722
0.700,0.971,0.721
0.701,0.970,0.718
0.702,0.972,0.716
0.703,0.972,0.715
0.704,0.973,0.715
0.706,0.973,0.713
0.707,0.975,0.712
0.708,0.975,0.711
0.710,0.976,0.710
0.711,0.976,0.707
0.712,0.976,0.703
0.713,0.976,0.701
0.717,0.978,0.701
0.720,0.978,0.699
0.722,0.977,0.698
0.724,0.977,0.697
0.725,0.977,0.696
0.726,0.979,0.696
0.727,0.979,0.695
0.728,0.979,0.693
0.730,0.979,0.691
0.731,0.980,0.691
0.732,0.980,0.690
0.733,0.980,0.688
0.735,0.980,0.685
0.736,0.980,0.684
0.739,0.980,0.682
0.742,0.982,0.679
0.743,0.982,0.677
0.744,0.982,0.675
0.748,0.982,0.674
0.749,0.982,0.672
0.751,0.981,0.669
0.752,0.981,0.666
0.753,0.981,0.662
0.754,0.981,0.660
0.755,0.983,0.660
0.756,0.983,0.659
0.757,0.983,0.658
0.758,0.985,0.658
0.759,0.985,0.657
0.760,0.984,0.656
0.761,0.984,0.654
0.762,0.984,0.652
0.763,0.984,0.650
0.764,0.984,0.648
0.765,0.984,0.646
0.767,0.984,0.645
0.770,0.984,0.644
0.773,0.984,0.643
0.774,0.984,0.642
0.775,0.984,0.641
0.777,0.984,0.639
0.778,0.984,0.637
0.779,0.984,0.636
0.780,0.984,0.635
0.781,0.984,0.634
0.790,0.984,0.631
0.791,0.984,0.629
0.795,0.984,0.627
0.797,0.984,0.625
0.798,0.985,0.623
0.800,0.985,0.622
0.801,0.985,0.621
0.802,0.985,0.619
0.803,0.987,0.617
0.804,0.987,0.614
0.805,0.987,0.613
0.808,0.987,0.612
0.810,0.987,0.611
0.811,0.987,0.610
0.812,0.987,0.607
0.813,0.987,0.606
0.814,0.987,0.604
0.815,0.987,0.603
0.816,0.987,0.600
0.822,0.987,0.598
0.823,0.987,0.597
0.824,0.989,0.595
0.825,0.989,0.594
0.826,0.988,0.591
0.828,0.988,0.590
0.829,0.988,0.588
0.830,0.988,0.587
0.833,0.988,0.586
0.834,0.988,0.583
0.835,0.988,0.581
0.836,0.990,0.580
0.837,0.990,0.577
0.838,0.990,0.576
0.841,0.990,0.574
0.844,0.990,0.571
0.845,0.990,0.569
0.847,0.990,0.566
0.848,0.990,0.564
0.849,0.990,0.560
0.850,0.990,0.558
0.851,0.990,0.557
0.852,0.990,0.556
0.853,0.990,0.553
0.854,0.990,0.552
0.855,0.990,0.550
0.856,0.990,0.549
0.857,0.990,0.548
0.858,0.990,0.546
0.860,0.990,0.544
0.861,0.992,0.541
0.863,0.992,0.540
0.864,0.992,0.538
0.866,0.994,0.534
0.868,0.994,0.532
0.869,0.994,0.529
0.870,0.994,0.528
0.871,0.996,0.526
