threshold,precision,recall
0.451,0.784,0.798
0.452,0.784,0.798
0.453,0.785,0.798
0.454,0.785,0.797
0.457,0.786,0.797
0.458,0.787,0.796
0.459,0.788,0.796
0.462,0.789,0.796
0.463,0.791,0.796
0.464,0.793,0.796
0.467,0.794,0.796
0.470,0.795,0.796
0.473,0.794,0.794
0.475,0.795,0.793
0.476,0.795,0.792
0.477,0.798,0.792
0.478,0.800,0.792
0.479,0.800,0.791
0.480,0.803,0.791
0.483,0.805,0.790
0.486,0.805,0.789
0.489,0.806,0.789
0.490,0.808,0.789
0.493,0.810,0.789
0.497,0.812,0.789
0.498,0.813,0.789
0.500,0.815,0.788
0.502,0.816,0.788
0.504,0.815,0.786
0.505,0.816,0.786
0.506,0.817,0.786
0.509,0.817,0.785
0.511,0.819,0.785
0.512,0.819,0.784
0.513,0.820,0.784
0.516,0.822,0.784
0.518,0.823,0.783
0.519,0.822,0.782
0.520,0.823,0.781
0.523,0.824,0.781
0.524,0.825,0.781
0.525,0.827,0.781
0.527,0.829,0.781
0.529,0.830,0.781
0.531,0.833,0.781
0.532,0.837,0.780
0.535,0.838,0.780
0.540,0.839,0.778
0.541,0.840,0.778
0.544,0.841,0.778
0.545,0.841,0.776
0.546,0.844,0.776
0.550,0.846,0.776
0.551,0.847,0.776
0.552,0.849,0.776
0.555,0.850,0.776
0.557,0.852,0.776
0.560,0.854,0.776
0.562,0.855,0.776
0.566,0.856,0.776
0.567,0.857,0.776
0.568,0.857,0.775
0.571,0.858,0.774
0.572,0.859,0.774
0.573,0.860,0.774
0.574,0.861,0.774
0.575,0.861,0.773
0.576,0.862,0.773
0.580,0.863,0.773
0.581,0.863,0.772
0.582,0.864,0.772
0.583,0.865,0.770
0.584,0.866,0.770
0.589,0.867,0.770
0.590,0.868,0.770
0.591,0.868,0.769
0.595,0.869,0.769
0.598,0.871,0.768
0.601,0.871,0.767
0.602,0.872,0.767
0.607,0.874,0.766
0.609,0.875,0.766
0.610,0.876,0.766
0.611,0.876,0.762
0.614,0.877,0.762
0.616,0.877,0.761
0.617,0.878,0.761
0.619,0.879,0.761
0.620,0.880,0.761
0.621,0.880,0.760
0.623,0.881,0.760
0.624,0.883,0.760
0.625,0.883,0.759
0.630,0.884,0.758
0.631,0.883,0.757
0.632,0.883,0.755
0.633,0.884,0.754
0.634,0.884,0.753
0.635,0.885,0.753
0.638,0.886,0.753
0.639,0.888,0.752
0.640,0.890,0.752
0.641,0.891,0.752
0.642,0.892,0.752
0.646,0.892,0.751
0.647,0.893,0.751
0.648,0.893,0.750
0.650,0.893,0.749
0.651,0.895,0.746
0.656,0.897,0.746
0.657,0.896,0.745
0.659,0.896,0.743
0.662,0.897,0.742
0.664,0.897,0.741
0.665,0.897,0.739
0.667,0.897,0.738
0.669,0.898,0.738
0.672,0.898,0.736
0.673,0.899,0.736
0.674,0.900,0.736
0.675,0.902,0.736
0.677,0.903,0.736
0.678,0.904,0.736
0.682,0.905,0.736
0.683,0.907,0.735
0.685,0.909,0.734
0.686,0.910,0.734
0.688,0.911,0.732
0.689,0.914,0.732
0.690,0.915,0.732
0.694,0.915,0.731
0.696,0.915,0.730
0.697,0.915,0.727
0.699,0.915,0.726
0.702,0.914,0.724
0.706,0.914,0.723
0.707,0.914,0.721
0.712,0.914,0.720
0.713,0.914,0.719
0.715,0.915,0.718
0.716,0.915,0.716
0.718,0.916,0.715
0.719,0.916,0.713
0.720,0.916,0.712
0.722,0.917,0.712
0.726,0.917,0.711
0.729,0.917,0.710
0.731,0.917,0.707
0.732,0.918,0.705
0.733,0.919,0.703
0.734,0.919,0.700
0.735,0.919,0.699
0.736,0.918,0.698
0.737,0.918,0.697
0.738,0.920,0.696
0.739,0.921,0.693
0.741,0.922,0.693
0.742,0.925,0.693
0.743,0.925,0.692
0.744,0.926,0.690
0.745,0.927,0.689
0.748,0.927,0.688
0.749,0.929,0.687
0.751,0.930,0.687
0.752,0.930,0.684
0.753,0.930,0.682
0.754,0.929,0.681
0.755,0.929,0.679
0.756,0.931,0.679
0.757,0.931,0.677
0.758,0.930,0.676
0.759,0.930,0.675
0.760,0.930,0.673
0.761,0.932,0.672
0.762,0.931,0.669
0.763,0.934,0.669
0.764,0.934,0.668
0.765,0.935,0.666
0.766,0.935,0.665
0.767,0.937,0.662
0.768,0.936,0.660
0.769,0.936,0.656
0.770,0.936,0.653
0.771,0.936,0.652
0.772,0.937,0.652
0.773,0.939,0.651
0.775,0.939,0.650
0.776,0.938,0.648
0.777,0.938,0.646
0.779,0.938,0.645
0.780,0.938,0.643
0.782,0.938,0.642
0.783,0.938,0.639
0.784,0.938,0.637
0.785,0.937,0.636
0.787,0.937,0.635
0.788,0.937,0.634
0.789,0.937,0.633
0.790,0.937,0.630
0.791,0.942,0.630
0.794,0.943,0.630
0.795,0.943,0.629
0.796,0.946,0.627
0.797,0.948,0.626
0.799,0.948,0.625
0.800,0.948,0.623
0.801,0.949,0.621
0.802,0.949,0.619
0.803,0.949,0.617
0.806,0.949,0.615
0.807,0.950,0.614
0.808,0.950,0.613
0.809,0.952,0.613
0.810,0.952,0.610
0.811,0.952,0.608
0.813,0.953,0.606
0.817,0.955,0.604
0.818,0.954,0.602
0.819,0.954,0.599
0.821,0.954,0.596
0.822,0.954,0.595
0.823,0.956,0.592
0.825,0.957,0.592
0.826,0.957,0.591
0.827,0.957,0.590
0.828,0.957,0.589
0.829,0.959,0.588
0.833,0.959,0.586
0.834,0.958,0.583
0.835,0.958,0.581
0.836,0.960,0.580
0.837,0.960,0.579
0.838,0.964,0.576
0.840,0.963,0.574
0.842,0.963,0.573
0.843,0.963,0.571
0.844,0.967,0.568
0.845,0.967,0.567
0.847,0.969,0.567
0.848,0.970,0.565
0.849,0.970,0.563
0.850,0.970,0.561
0.851,0.970,0.560
0.853,0.970,0.558
0.854,0.970,0.553
0.856,0.970,0.551
0.857,0.972,0.551
0.858,0.972,0.550
0.861,0.971,0.548
0.862,0.971,0.546
0.864,0.971,0.545
0.866,0.971,0.543
0.867,0.971,0.540
0.868,0.973,0.538
0.870,0.973,0.536
0.871,0.973,0.534
0.872,0.973,0.529
0.873,0.975,0.528
0.874,0.975,0.527
0.878,0.974,0.525
0.879,0.974,0.522
0.880,0.974,0.520
0.881,0.974,0.519
