threshold,true positive rate,false positive rate
0.468,0.682,0.002
0.480,0.682,0.002
0.482,0.681,0.002
0.490,0.676,0.002
0.492,0.675,0.002
0.494,0.674,0.002
0.496,0.673,0.002
0.505,0.673,0.002
0.507,0.672,0.002
0.511,0.672,0.001
0.513,0.669,0.001
0.514,0.668,0.001
0.516,0.667,0.001
0.527,0.662,0.001
0.529,0.661,0.001
0.537,0.659,0.001
0.538,0.657,0.001
0.541,0.657,0.001
0.545,0.656,0.001
0.553,0.654,0.001
0.560,0.652,0.001
0.565,0.652,0.001
0.568,0.651,0.001
0.571,0.651,0.001
0.572,0.650,0.001
0.578,0.645,0.001
0.583,0.642,0.001
0.592,0.642,0.001
0.600,0.638,0.001
0.604,0.638,0.001
0.605,0.637,0.001
0.607,0.635,0.001
0.615,0.631,0.001
0.616,0.629,0.001
0.618,0.629,0.001
0.619,0.628,0.001
0.623,0.626,0.001
0.630,0.621,0.001
0.631,0.620,0.001
0.641,0.618,0.001
0.643,0.615,0.001
0.647,0.612,0.001
0.650,0.612,0.001
0.651,0.611,0.001
0.653,0.608,0.001
0.654,0.608,0.001
0.657,0.606,0.001
0.659,0.606,0.001
0.669,0.599,0.001
0.671,0.597,0.001
0.674,0.595,0.001
0.675,0.592,0.001
0.676,0.591,0.001
0.677,0.589,0.001
0.689,0.582,0.001
0.691,0.581,0.001
0.698,0.580,0.001
0.699,0.580,0.001
0.700,0.579,0.001
0.701,0.577,0.001
0.705,0.575,0.001
0.706,0.575,0.001
0.707,0.573,0.001
0.708,0.572,0.001
0.709,0.571,0.001
0.712,0.569,0.001
0.713,0.568,0.001
0.715,0.567,0.001
0.716,0.567,0.001
0.724,0.563,0.001
0.728,0.560,0.001
0.740,0.556,0.001
0.741,0.553,0.001
0.744,0.552,0.001
0.749,0.551,0.001
0.750,0.551,0.001
0.755,0.548,0.001
0.758,0.548,0.001
0.760,0.545,0.001
0.762,0.545,0.001
0.764,0.543,0.001
0.769,0.541,0.000
0.772,0.536,0.000
0.774,0.534,0.000
0.775,0.530,0.000
0.776,0.528,0.000
0.777,0.525,0.000
0.780,0.524,0.000
0.781,0.522,0.000
0.784,0.520,0.000
0.785,0.518,0.000
0.788,0.514,0.000
0.791,0.513,0.000
0.795,0.510,0.000
0.800,0.505,0.000
0.802,0.504,0.000
0.804,0.499,0.000
0.806,0.497,0.000
0.807,0.496,0.000
0.808,0.494,0.000
0.810,0.494,0.000
0.812,0.491,0.000
0.813,0.489,0.000
0.819,0.487,0.000
0.821,0.482,0.000
0.823,0.481,0.000
0.824,0.479,0.000
0.825,0.475,0.000
0.826,0.474,0.000
0.828,0.467,0.000
0.833,0.463,0.000
0.835,0.460,0.000
0.836,0.459,0.000
0.837,0.456,0.000
0.838,0.454,0.000
0.839,0.452,0.000
0.840,0.451,0.000
0.841,0.449,0.000
0.843,0.448,0.000
0.844,0.442,0.000
0.845,0.440,0.000
0.846,0.435,0.000
0.847,0.434,0.000
0.848,0.432,0.000
0.849,0.428,0.000
0.853,0.427,0.000
0.855,0.423,0.000
0.862,0.418,0.000
0.864,0.412,0.000
0.866,0.411,0.000
0.869,0.406,0.000
0.871,0.404,0.000
0.874,0.402,0.000
0.876,0.400,0.000
0.878,0.390,0.000
0.880,0.386,0.000
0.881,0.385,0.000
0.883,0.382,0.000
0.884,0.377,0.000
0.885,0.375,0.000
0.886,0.373,0.000
0.888,0.369,0.000
0.891,0.366,0.000
0.892,0.365,0.000
0.894,0.363,0.000
0.896,0.356,0.000
0.897,0.351,0.000
0.898,0.348,0.000
0.899,0.347,0.000
0.901,0.342,0.000
0.902,0.338,0.000
0.903,0.336,0.000
0.906,0.330,0.000
0.907,0.326,0.000
0.910,0.323,0.000
0.911,0.320,0.000
0.913,0.320,0.000
0.914,0.319,0.000
0.917,0.309,0.000
0.918,0.301,0.000
0.920,0.294,0.000
0.921,0.288,0.000
0.922,0.285,0.000
0.923,0.282,0.000
0.924,0.279,0.000
0.925,0.278,0.000
0.926,0.274,0.000
0.928,0.272,0.000
0.929,0.269,0.000
0.930,0.266,0.000
0.931,0.262,0.000
0.932,0.258,0.000
0.933,0.257,0.000
0.934,0.254,0.000
0.936,0.245,0.000
0.937,0.238,0.000
0.938,0.237,0.000
0.939,0.231,0.000
0.940,0.230,0.000
0.941,0.226,0.000
0.942,0.220,0.000
0.943,0.216,0.000
0.946,0.209,0.000
0.947,0.208,0.000
0.949,0.204,0.000
0.950,0.199,0.000
0.951,0.195,0.000
0.953,0.181,0.000
0.954,0.180,0.000
0.955,0.177,0.000
0.956,0.172,0.000
0.957,0.169,0.000
0.958,0.166,0.000
0.959,0.163,0.000
0.960,0.158,0.000
0.961,0.155,0.000
0.962,0.154,0.000
0.963,0.147,0.000
0.965,0.133,0.000
0.967,0.126,0.000
0.968,0.121,0.000
