threshold,true positive rate,false positive rate
0.546,0.788,0.002
0.547,0.788,0.002
0.550,0.788,0.002
0.551,0.786,0.002
0.552,0.785,0.002
0.553,0.784,0.002
0.560,0.781,0.002
0.564,0.781,0.002
0.565,0.781,0.002
0.567,0.778,0.002
0.568,0.778,0.002
0.571,0.778,0.002
0.572,0.778,0.002
0.574,0.778,0.002
0.575,0.776,0.002
0.580,0.773,0.002
0.582,0.773,0.002
0.583,0.772,0.002
0.586,0.772,0.002
0.595,0.767,0.002
0.597,0.767,0.001
0.602,0.763,0.001
0.603,0.762,0.001
0.604,0.761,0.001
0.607,0.761,0.001
0.611,0.759,0.001
0.615,0.757,0.001
0.616,0.757,0.001
0.617,0.754,0.001
0.626,0.749,0.001
0.627,0.749,0.001
0.629,0.749,0.001
0.635,0.745,0.001
0.641,0.744,0.001
0.643,0.743,0.001
0.644,0.742,0.001
0.646,0.742,0.001
0.648,0.739,0.001
0.652,0.737,0.001
0.654,0.735,0.001
0.656,0.732,0.001
0.657,0.732,0.001
0.661,0.731,0.001
0.662,0.731,0.001
0.666,0.730,0.001
0.669,0.726,0.001
0.672,0.723,0.001
0.676,0.722,0.001
0.677,0.720,0.001
0.679,0.719,0.001
0.681,0.714,0.001
0.687,0.712,0.001
0.690,0.710,0.001
0.693,0.710,0.001
0.694,0.707,0.001
0.695,0.706,0.001
0.696,0.706,0.001
0.700,0.705,0.001
0.705,0.705,0.001
0.711,0.703,0.001
0.712,0.703,0.001
0.713,0.701,0.001
0.715,0.700,0.001
0.718,0.700,0.001
0.719,0.698,0.001
0.720,0.697,0.001
0.722,0.696,0.001
0.725,0.693,0.001
0.726,0.693,0.001
0.727,0.691,0.001
0.728,0.690,0.001
0.729,0.690,0.001
0.730,0.688,0.001
0.734,0.687,0.001
0.735,0.684,0.001
0.737,0.683,0.000
0.739,0.683,0.000
0.741,0.680,0.000
0.743,0.677,0.000
0.744,0.673,0.000
0.747,0.670,0.000
0.748,0.668,0.000
0.750,0.667,0.000
0.752,0.666,0.000
0.754,0.661,0.000
0.755,0.660,0.000
0.757,0.659,0.000
0.758,0.657,0.000
0.764,0.651,0.000
0.765,0.649,0.000
0.767,0.646,0.000
0.768,0.643,0.000
0.769,0.642,0.000
0.770,0.639,0.000
0.771,0.638,0.000
0.773,0.637,0.000
0.775,0.636,0.000
0.777,0.635,0.000
0.778,0.634,0.000
0.780,0.631,0.000
0.781,0.630,0.000
0.782,0.628,0.000
0.783,0.626,0.000
0.785,0.625,0.000
0.786,0.621,0.000
0.793,0.618,0.000
0.794,0.615,0.000
0.795,0.614,0.000
0.797,0.613,0.000
0.798,0.611,0.000
0.801,0.610,0.000
0.804,0.607,0.000
0.805,0.606,0.000
0.808,0.599,0.000
0.809,0.598,0.000
0.810,0.596,0.000
0.811,0.595,0.000
0.813,0.590,0.000
0.815,0.589,0.000
