threshold,true positive rate,false positive rate
0.538,0.762,0.003
0.545,0.762,0.003
0.547,0.760,0.003
0.555,0.760,0.003
0.565,0.758,0.003
0.566,0.758,0.003
0.571,0.757,0.003
0.572,0.755,0.003
0.575,0.755,0.003
0.577,0.754,0.003
0.582,0.754,0.003
0.591,0.754,0.003
0.594,0.753,0.003
0.598,0.752,0.003
0.603,0.751,0.003
0.607,0.750,0.003
0.612,0.749,0.003
0.615,0.747,0.003
0.617,0.746,0.003
0.622,0.746,0.003
0.626,0.746,0.003
0.629,0.746,0.002
0.630,0.744,0.002
0.631,0.744,0.002
0.633,0.742,0.002
0.635,0.741,0.002
0.636,0.741,0.002
0.637,0.739,0.002
0.641,0.737,0.002
0.644,0.736,0.002
0.649,0.735,0.002
0.651,0.732,0.002
0.657,0.731,0.002
0.658,0.731,0.002
0.660,0.730,0.002
0.663,0.730,0.002
0.666,0.729,0.002
0.667,0.729,0.002
0.668,0.728,0.002
0.671,0.727,0.002
0.672,0.726,0.002
0.674,0.724,0.002
0.675,0.724,0.002
0.678,0.723,0.002
0.679,0.723,0.002
0.680,0.722,0.002
0.683,0.722,0.002
0.687,0.721,0.002
0.689,0.720,0.002
0.696,0.716,0.002
0.697,0.716,0.002
0.698,0.715,0.002
0.699,0.714,0.002
0.708,0.711,0.002
0.714,0.708,0.002
0.721,0.706,0.002
0.723,0.704,0.002
0.728,0.701,0.002
0.735,0.698,0.002
0.737,0.698,0.002
0.738,0.697,0.002
0.743,0.697,0.001
0.751,0.696,0.001
0.753,0.692,0.001
0.757,0.690,0.001
0.759,0.689,0.001
0.760,0.687,0.001
0.761,0.684,0.001
0.762,0.683,0.001
0.763,0.683,0.001
0.766,0.680,0.001
0.769,0.679,0.001
0.777,0.674,0.001
0.778,0.674,0.001
0.780,0.672,0.001
0.781,0.669,0.001
0.786,0.668,0.001
0.787,0.666,0.001
0.788,0.665,0.001
0.792,0.664,0.001
0.795,0.662,0.001
0.798,0.658,0.001
0.801,0.656,0.001
0.802,0.653,0.001
0.804,0.652,0.001
0.805,0.652,0.001
0.808,0.648,0.001
0.809,0.645,0.001
0.812,0.645,0.001
0.815,0.643,0.001
0.816,0.643,0.001
0.823,0.641,0.001
0.824,0.639,0.001
0.826,0.638,0.001
0.827,0.636,0.001
0.828,0.635,0.001
0.830,0.633,0.001
0.832,0.630,0.001
0.833,0.629,0.001
0.835,0.627,0.001
0.837,0.623,0.001
0.838,0.621,0.001
0.841,0.620,0.001
0.842,0.620,0.001
0.843,0.618,0.001
0.846,0.617,0.001
0.848,0.617,0.001
0.852,0.613,0.001
0.853,0.608,0.001
0.854,0.606,0.001
0.856,0.604,0.001
0.858,0.602,0.001
0.867,0.597,0.001
0.868,0.594,0.001
0.871,0.590,0.001
0.873,0.590,0.001
0.875,0.590,0.001
0.877,0.589,0.001
0.880,0.586,0.001
0.881,0.583,0.001
0.883,0.581,0.001
0.884,0.577,0.001
0.885,0.575,0.001
0.886,0.574,0.001
0.887,0.571,0.001
0.888,0.568,0.000
0.889,0.567,0.000
0.890,0.564,0.000
0.892,0.561,0.000
0.893,0.558,0.000
0.894,0.555,0.000
0.895,0.552,0.000
0.897,0.550,0.000
0.898,0.549,0.000
0.900,0.546,0.000
0.901,0.545,0.000
0.902,0.542,0.000
0.903,0.541,0.000
0.905,0.537,0.000
0.906,0.533,0.000
0.907,0.532,0.000
0.908,0.526,0.000
0.909,0.525,0.000
0.910,0.522,0.000
0.911,0.519,0.000
0.912,0.513,0.000
0.913,0.512,0.000
0.914,0.509,0.000
0.916,0.499,0.000
0.917,0.497,0.000
