threshold,precision,recall
0.584,0.873,0.754
0.586,0.874,0.754
0.589,0.875,0.754
0.591,0.876,0.754
0.594,0.876,0.753
0.598,0.877,0.752
0.603,0.877,0.751
0.607,0.878,0.750
0.612,0.878,0.749
0.615,0.879,0.747
0.617,0.878,0.746
0.622,0.881,0.746
0.626,0.882,0.746
0.628,0.884,0.746
0.629,0.887,0.746
0.630,0.886,0.744
0.631,0.888,0.744
0.632,0.888,0.743
0.633,0.887,0.742
0.635,0.888,0.741
0.636,0.890,0.741
0.637,0.890,0.739
0.641,0.889,0.737
0.644,0.890,0.736
0.649,0.890,0.735
0.651,0.890,0.732
0.657,0.891,0.731
0.658,0.892,0.731
0.660,0.892,0.730
0.663,0.895,0.730
0.666,0.896,0.729
0.667,0.897,0.729
0.668,0.897,0.728
0.671,0.898,0.727
0.672,0.898,0.726
0.674,0.900,0.724
0.675,0.901,0.724
0.678,0.901,0.723
0.679,0.903,0.723
0.680,0.902,0.722
0.682,0.904,0.722
0.683,0.905,0.722
0.687,0.905,0.721
0.689,0.906,0.720
0.690,0.906,0.719
0.695,0.906,0.718
0.696,0.906,0.716
0.697,0.910,0.716
0.698,0.911,0.715
0.699,0.911,0.714
0.703,0.912,0.713
0.705,0.913,0.712
0.708,0.914,0.711
0.712,0.914,0.710
0.714,0.914,0.708
0.721,0.914,0.706
0.722,0.914,0.705
0.723,0.914,0.704
0.725,0.915,0.703
0.728,0.916,0.701
0.729,0.916,0.700
0.730,0.916,0.699
0.735,0.916,0.698
0.737,0.917,0.698
0.738,0.918,0.697
0.741,0.920,0.697
0.742,0.921,0.697
0.743,0.922,0.697
0.751,0.922,0.696
0.753,0.922,0.692
0.755,0.922,0.691
0.757,0.922,0.690
0.759,0.924,0.689
0.760,0.924,0.687
0.761,0.925,0.684
0.762,0.925,0.683
0.763,0.927,0.683
0.766,0.926,0.680
0.769,0.928,0.679
0.770,0.928,0.677
0.774,0.928,0.676
0.775,0.927,0.675
0.777,0.927,0.674
0.778,0.929,0.674
0.779,0.929,0.673
0.780,0.929,0.672
0.781,0.928,0.669
0.786,0.928,0.668
0.787,0.928,0.666
0.788,0.928,0.665
0.792,0.929,0.664
0.795,0.929,0.662
0.796,0.929,0.660
0.798,0.929,0.658
0.799,0.930,0.657
0.801,0.931,0.656
0.802,0.931,0.653
0.804,0.931,0.652
0.805,0.933,0.652
0.808,0.932,0.648
0.809,0.934,0.645
0.812,0.935,0.645
0.814,0.935,0.644
0.815,0.935,0.643
0.816,0.936,0.643
0.818,0.936,0.642
0.823,0.936,0.641
0.824,0.938,0.639
0.826,0.938,0.638
0.827,0.937,0.636
0.828,0.939,0.635
0.829,0.939,0.634
0.830,0.939,0.633
0.832,0.938,0.630
0.833,0.943,0.629
0.835,0.943,0.627
0.837,0.944,0.623
0.838,0.944,0.621
0.841,0.944,0.620
0.842,0.946,0.620
0.843,0.946,0.618
0.846,0.945,0.617
0.848,0.947,0.617
0.849,0.947,0.615
0.850,0.947,0.614
0.852,0.947,0.613
0.853,0.950,0.608
0.854,0.951,0.606
0.855,0.951,0.605
0.856,0.951,0.604
0.858,0.951,0.602
0.859,0.951,0.600
0.861,0.951,0.599
0.863,0.951,0.598
0.867,0.951,0.597
0.868,0.950,0.594
0.869,0.950,0.592
0.870,0.950,0.591
0.871,0.950,0.590
0.873,0.952,0.590
0.875,0.955,0.590
0.877,0.957,0.589
0.878,0.957,0.588
0.879,0.957,0.587
0.880,0.957,0.586
0.881,0.960,0.583
0.882,0.960,0.582
0.883,0.960,0.581
0.884,0.960,0.577
0.885,0.960,0.575
0.886,0.963,0.574
0.887,0.965,0.571
0.888,0.967,0.568
0.889,0.969,0.567
0.890,0.968,0.564
0.891,0.968,0.563
0.892,0.968,0.561
0.893,0.970,0.558
0.894,0.970,0.555
0.895,0.970,0.552
0.896,0.972,0.551
0.897,0.974,0.550
0.898,0.974,0.549
0.900,0.975,0.546
0.901,0.977,0.545
0.902,0.977,0.542
0.903,0.977,0.541
0.905,0.977,0.537
0.906,0.977,0.533
0.907,0.977,0.532
0.908,0.977,0.526
0.909,0.976,0.525
0.910,0.976,0.522
0.911,0.976,0.519
0.912,0.976,0.513
0.913,0.976,0.512
0.914,0.976,0.509
0.915,0.976,0.504
0.916,0.975,0.499
0.917,0.975,0.497
0.918,0.975,0.494
0.919,0.975,0.487
0.920,0.975,0.485
0.921,0.974,0.482
0.922,0.974,0.481
0.923,0.974,0.478
0.924,0.974,0.475
0.925,0.976,0.472
0.926,0.976,0.470
0.928,0.976,0.464
0.929,0.976,0.459
0.930,0.975,0.456
0.931,0.975,0.452
0.932,0.975,0.450
0.933,0.975,0.445
0.934,0.974,0.439
0.935,0.977,0.436
0.936,0.977,0.434
0.937,0.977,0.432
0.938,0.976,0.426
0.939,0.976,0.419
0.940,0.976,0.413
0.941,0.975,0.406
0.942,0.975,0.403
0.943,0.975,0.396
0.944,0.974,0.393
0.945,0.977,0.385
0.946,0.976,0.379
0.947,0.979,0.374
0.948,0.979,0.366
0.949,0.981,0.363
0.950,0.984,0.358
0.951,0.984,0.356
0.952,0.984,0.350
0.953,0.987,0.339
0.954,0.986,0.330
0.955,0.986,0.324
0.956,0.989,0.318
0.957,0.989,0.309
0.958,0.989,0.303
0.959,0.989,0.297
0.960,0.988,0.285
0.961,0.988,0.284
0.962,0.987,0.270
0.963,0.987,0.258
0.964,0.986,0.250
0.965,1.000,0.242
0.966,1.000,0.231
0.967,1.000,0.220
0.968,1.000,0.214
0.969,1.000,0.201
0.970,1.000,0.189
0.971,1.000,0.177
0.972,1.000,0.169
0.973,1.000,0.160
0.974,1.000,0.152
0.975,1.000,0.140
0.976,1.000,0.125
0.977,1.000,0.114
0.978,1.000,0.099
0.979,1.000,0.084
0.980,1.000,0.076
0.981,1.000,0.063
0.982,1.000,0.052
0.983,1.000,0.047
0.984,1.000,0.040
0.985,1.000,0.036
0.986,1.000,0.032
0.987,1.000,0.028
0.988,1.000,0.021
0.989,1.000,0.016
0.990,1.000,0.010
0.991,1.000,0.005
0.992,1.000,0.003
0.996,1.000,0.002
